model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome,term_left,term_right,term_midpoint
0,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,-0.1147217032394094,0.06439311472364706,0.06420714688570095,-1.7867435138277128,0.07397895267322216,-0.24056539868545634,0.011121992206637524,NA,Unadjusted,postest,0,6,3.5
0,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.057801233012258445,0.08925574267688645,0.08937007532548852,0.6467627200910887,0.517785523443428,-0.11736089592133075,0.23296336194584766,NA,Unadjusted,postest,7,13,10.5
0,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.5377374544344161,0.10720346998275547,0.10761406563033415,4.996906782442379,5.825721154514951e-7,0.32681776156903153,0.7486571472998007,NA,Unadjusted,postest,14,20,17.5
0,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.42404277552967956,0.13723022492301964,0.13713923356540755,3.092060269736271,0.0019877248735654263,0.1552548168740543,0.6928307341853048,NA,Unadjusted,postest,21,27,24.5
0,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.46437042384515803,0.15277649495284304,0.15277661426696362,3.0395386497681627,0.0023694079841304772,0.16493376220194123,0.7638070854883748,NA,Unadjusted,postest,28,34,31.5
0,36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,0.41518066830588457,0.10374661588788386,0.10405485063600814,3.9900174356908975,6.606843836815751e-5,0.21123690864261394,0.6191244279691552,NA,Unadjusted,postest,35,41,38.5
1,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,-0.05439447230890726,0.0649433870155799,0.06481457354582605,-0.8392321253251565,0.40133906318523227,-0.18142870213204884,0.07263975751423432,NA,Adjusting for time,postest,0,6,3.5
1,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.025664224551026533,0.08962437042538823,0.08976529151178525,0.2859036507184638,0.7749519175418618,-0.15027251387381152,0.2016009629758646,NA,Adjusting for time,postest,7,13,10.5
1,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.4717344311542102,0.10785555280099957,0.10818977495221686,4.36024967574391,1.2991412465540294e-5,0.25968636875237155,0.6837824935560488,NA,Adjusting for time,postest,14,20,17.5
1,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.3136669841521116,0.13784686380458216,0.1379659753217588,2.273509707162145,0.022995481824787823,0.043258641429522515,0.5840753268747007,NA,Adjusting for time,postest,21,27,24.5
1,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.33456952970283005,0.15339677894002868,0.15260253191539105,2.1924244998001003,0.028348869188330402,0.03547406319903951,0.6336649962066205,NA,Adjusting for time,postest,28,34,31.5
1,36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,0.252187609088446,0.1042393071482098,0.10433613866196738,2.4170686429703334,0.01564606625538211,0.04769253502501289,0.4566826831518791,NA,Adjusting for time,postest,35,41,38.5
2,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,-0.03309782917032945,0.06497891890827182,0.06482044351721142,-0.5106078788483013,0.6096256577807218,-0.16014356392597662,0.09394790558531774,NA,Adjusting for time + demographics,postest,0,6,3.5
2,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.027009841646043083,0.08962651588956823,0.08977065849350195,0.3008760557103209,0.7635090095642237,-0.1489374158696654,0.2029570991617516,NA,Adjusting for time + demographics,postest,7,13,10.5
2,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.4728478987011339,0.1078767593162855,0.10822577741739965,4.369087568458652,1.2476673285099657e-5,0.26072927276418234,0.6849665246380855,NA,Adjusting for time + demographics,postest,14,20,17.5
2,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.3126039214972597,0.13787434425934136,0.13801413985526265,2.265013728485297,0.023511837070368302,0.042101178023670915,0.5831066649708485,NA,Adjusting for time + demographics,postest,21,27,24.5
2,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.330975438137287,0.15341850096692503,0.15264051322329242,2.1683328439358345,0.03013337122258148,0.0318055296379241,0.63014534663665,NA,Adjusting for time + demographics,postest,28,34,31.5
