model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,4.173 GB,114253.56412634297,3877418,3877408,113933.48942175572,123033.85026343039,3877419,Unadjusted,postest
1,TRUE,4.173 GB,110243.81454876652,3877418,3877384,109883.66387027061,123033.85026343039,3877419,Adjusting for time,postest
2,TRUE,4.173 GB,109557.75161822369,3877418,3877373,109176.55160276484,123033.85026343039,3877419,Adjusting for time + demographics,postest
3,TRUE,4.173 GB,108957.7580980867,3877418,3877365,108561.49226039727,123033.85026343039,3877419,Adjusting for time + demographics + clinical,postest
