model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,4.173 GB,113866.22842914314,3877418,3877404,113538.08090351144,123033.85026343039,3877419,Unadjusted,postest
1,TRUE,4.173 GB,109831.91527372586,3877418,3877380,109463.6814156397,123033.85026343039,3877419,Adjusting for time,postest
2,TRUE,4.173 GB,109142.68988838447,3877418,3877369,108753.39429535426,123033.85026343039,3877419,Adjusting for time + demographics,postest
3,TRUE,4.173 GB,108536.9768825243,3877418,3877361,108132.61139871602,123033.85026343039,3877419,Adjusting for time + demographics + clinical,postest
