model,convergence,n,nevent,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs
0,0,4606231,18583,116.31925671000499,9.654711163144158e-23,121.16574377229558,9.272512406141302e-24,120.45,1.3092113520975294e-23,107.25757178702955,7.643157668057413e-21,2.5252269814757256e-5,0.09660047854001041,0.5152862248476887,0.0016161514677533499,-233916.23180265224,467844.4636053045,467891.44362008414,4606231
1,0,4606231,18583,234.35112467117142,1.0504805192842592e-44,250.3606769245937,4.558171384327224e-48,245.32,5.217637296786938e-47,201.99314054929306,6.19628781053534e-38,5.087568626793715e-5,0.08156862789104746,0.5225773153577278,0.0024198318640581643,-195850.5336861059,391721.0673722118,391799.3673968445,4606231
2,0,4606231,18583,1024.8258523513796,1.4356839990170548e-203,1074.3768493383677,3.905101008445156e-214,1021.24,8.347711899245251e-203,867.7845171358537,3.744289954154653e-170,2.2246210745069384e-4,0.08156862789104746,0.5648956938060349,0.0023904462080601013,-195455.29632226579,390952.59264453157,391117.0226962603,4606231
3,0,4606231,18583,1703.5269269589335,0,1810.9903977287515,0,1747.18,0,1400.7567714867164,7.700106208746055e-277,3.697626014135258e-4,0.08156862789104746,0.585385190523156,0.002363312574246977,-195115.945784962,390289.891569924,390516.96164135897,4606231
