model,convergence,n,nevent,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs
0,0,2082042,161,132.2618629721992,6.064209086427355e-23,124.70325916937736,2.046251078297803e-21,7955.38,0,117.9884362411625,4.599899879756853e-20,6.352305193124685e-5,0.0019113384946520817,0.7126859500349318,0.01761417629799775,-1925.5165427042311,3873.0330854084623,3906.9285334232914,2082042
1,0,2082042,161,126.07421214178294,1.0821164514985256e-21,117.38283775585066,6.086585833081167e-20,6407.24,0,109.59912977035633,2.2027439518056184e-18,6.055132179039191e-5,0.001603399866824673,0.6932398737152778,0.019457533731694704,-1607.4754346628154,3236.9508693256307,3270.84631734046,2082042
2,0,2082042,161,204.98676159846718,1.1994301543062198e-31,210.09984261872663,1.1873190419709168e-32,7463.59,0,116.76185042517976,6.73385352020389e-15,9.844982520879064e-5,0.001603399866824673,0.770296253460928,0.022901298596248666,-1568.0191599344732,3180.0383198689465,3247.8292158986046,2082042
3,0,2082042,161,292.64672627358914,7.411218077043149e-45,350.3334849928936,2.6909796911993336e-56,30227.56,0,145.1878890100095,4.74676468107636e-17,1.4054767405435875e-4,0.001603399866824673,0.8122515368531551,0.020758021882478557,-1524.1891775969123,3108.3783551938245,3200.8204861433583,2082042
