model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,3.767 GB,3779.216556279488,3500270,3500260,3759.5556412465594,4023.04636654574,3500271,Unadjusted,covidadmitted
1,TRUE,3.767 GB,3623.478348784435,3500270,3500236,3555.815574228706,4023.04636654574,3500271,Adjusting for time,covidadmitted
2,TRUE,3.767 GB,3505.8685677946705,3500270,3500225,3416.203358913894,4023.04636654574,3500271,Adjusting for time + demographics,covidadmitted
3,TRUE,3.767 GB,3448.798980628385,3500270,3500217,3343.128278806066,4023.04636654574,3500271,Adjusting for time + demographics + clinical,covidadmitted
