model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome,pw,term_left,term_right,term_midpoint
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24136388.753599577,14058,0.24616813707970525,0.05487132104071506,4.486280490623619,7.2477313988855575e-6,0.13862232405576888,0.3537139501036416,1.2791146220595782,1.1486901854188056,1.4243476936908732,Unadjusted,emergency,1-7,0,6,3.5
0,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2439238.0003199945,1418,-0.36008371150330787,0.0811375937982132,-4.437939241812192,9.082424670403081e-6,-0.5191104731400462,-0.20105694986656958,0.697617924981409,0.5950496252457457,0.8178658528763542,Unadjusted,emergency,8-14,7,13,10.5
0,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2417753.7791999946,1418,-0.17569049935718098,0.07943897625642753,-2.21164103109858,0.02699147797681545,-0.3313880317885114,-0.019992966925850564,0.8388775763120205,0.7179265366669146,0.9802055671409482,Unadjusted,emergency,15-21,14,20,17.5
0,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2388162.4163199947,1329,-0.20888826392029589,0.08126315490229447,-2.5705162957486642,0.010154704914498608,-0.3681611207988925,-0.04961540704169923,0.8114859028314365,0.6920056761986575,0.9515953309971262,Unadjusted,emergency,22-28,21,27,24.5
0,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2329936.503679995,1345,-0.22125823261810754,0.08153361554272948,-2.7137056433141042,0.00665352577305169,-0.3810611826111925,-0.06145528262502262,0.8015096776214343,0.6831360922913516,0.9403949967949138,Unadjusted,emergency,29-35,28,34,31.5
0,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12100947.858240006,7032,-0.24025814250055644,0.06114685588091587,-3.929198632362417,8.522941732243887e-5,-0.3601037777950127,-0.12041250720610017,0.7864248251907121,0.6976039265170769,0.8865546510955635,Unadjusted,emergency,36+,35,41,38.5
1,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24136388.753599577,14058,0.2551965771721337,0.05952114596418636,4.287494352438786,1.806998501826354e-5,0.13853727476377686,0.3718558795804905,1.2907153211040883,1.1485924942861572,1.4504239305239446,Adjusting for time,emergency,1-7,0,6,3.5
1,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2439238.0003199945,1418,-0.3897227022162453,0.08157486375395558,-4.77748517474352,1.7750113261602349e-6,-0.54960649721776,-0.22983890721473052,0.6772446469021715,0.577176886410679,0.7946616064443304,Adjusting for time,emergency,8-14,7,13,10.5
1,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2417753.7791999946,1418,-0.2301869911596148,0.08089657503216607,-2.8454479199902827,0.004434901098944603,-0.3887413646953024,-0.07163261762392717,0.7943850456334925,0.6779095786929298,0.9308728192671981,Adjusting for time,emergency,15-21,14,20,17.5
1,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2388162.4163199947,1329,-0.28063801866960136,0.0836235648495932,-3.3559681314036514,7.908768161697999e-4,-0.4445371940336536,-0.11673884330554912,0.7553016911134068,0.6411209219701062,0.8898175446306403,Adjusting for time,emergency,22-28,21,27,24.5
