model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome,term_left,term_right,term_midpoint
1,29-35,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-0.012770322289386345,0.06253821229395545,0.0626663559863885,-0.20378274894682138,0.8385232743142876,-0.1355941230650738,0.1100534784863011,NA,Adjusting for time,emergency,28,34,31.5
1,36+,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,0.048480039770617635,0.02928097416200327,0.02915994636512839,1.6625558621943708,0.09640137249997727,-0.008672404896153653,0.10563248443738893,NA,Adjusting for time,emergency,35,41,38.5
2,1-7,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.2781075164403542,0.05870486743781993,0.058834560589940424,4.726941336040253,2.2792707925293993e-6,0.16279389663783134,0.39342113624287706,NA,Adjusting for time + demographics,emergency,0,6,3.5
2,8-14,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.1022553271486624,0.0630463836729392,0.06249884070756448,-1.636115582161287,0.10181539961165409,-0.22475080401099456,0.02024014971366979,NA,Adjusting for time + demographics,emergency,7,13,10.5
2,15-21,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.06262693712684736,0.06022366982456735,0.0603561435485798,1.0376232384105162,0.29944549467657683,-0.05566893047409856,0.18092280472779326,NA,Adjusting for time + demographics,emergency,14,20,17.5
2,22-28,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.02302060473250469,0.06246335613617551,0.06210958897973593,0.37064493761205636,0.7109020069157318,-0.09871195276236355,0.14475316222737292,NA,Adjusting for time + demographics,emergency,21,27,24.5
2,29-35,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.003628643513869215,0.0625575342010214,0.06267276379553413,0.05789825267172566,0.9538296749552604,-0.11920771633696348,0.1264650033647019,NA,Adjusting for time + demographics,emergency,28,34,31.5
2,36+,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,0.05916308999346828,0.029318523422634742,0.029211899540423903,2.0253078685142483,0.04283576106497721,0.0019088189742352893,0.11641736101270128,NA,Adjusting for time + demographics,emergency,35,41,38.5
3,1-7,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.28123613642585216,0.05863454546797466,0.0586875292903496,4.792093649648628,1.650498235999202e-6,0.16621069267512745,0.39626158017657687,NA,Adjusting for time + demographics + clinical,emergency,0,6,3.5
3,8-14,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.0999558910900624,0.06300689064973955,0.06243881562181839,-1.6008614208103937,0.10940761602499002,-0.22233372094616333,0.022421938766038527,NA,Adjusting for time + demographics + clinical,emergency,7,13,10.5
3,15-21,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.06384381472282379,0.06019747323983569,0.06028782512395882,1.0589835442156594,0.28960727410363607,-0.05431815122638449,0.18200578067203205,NA,Adjusting for time + demographics + clinical,emergency,14,20,17.5
3,22-28,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.023039748200775464,0.06244359216880752,0.06208544383911511,0.37109742277883095,0.7105649705260272,-0.09864548568807431,0.14472498208962525,NA,Adjusting for time + demographics + clinical,emergency,21,27,24.5
3,29-35,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,1.2888391236938785e-4,0.0625469120592112,0.06264835010340955,0.002057259483396571,0.9983585455784918,-0.12265962598116947,0.12291739380590824,NA,Adjusting for time + demographics + clinical,emergency,28,34,31.5
3,36+,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,0.04929029179752082,0.029334320854403906,0.02923789219788926,1.6858360193652806,0.09182738798861126,-0.008014923894206757,0.1065955074892484,NA,Adjusting for time + demographics + clinical,emergency,35,41,38.5
