model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,5.898 GB,236099.22247224685,5480704,5480690,237475.97841377062,237523.77068636354,5480705,Unadjusted,emergency
1,TRUE,5.898 GB,229985.98645668125,5480704,5480663,231224.0434585654,237523.77068636354,5480705,Adjusting for time,emergency
2,TRUE,5.898 GB,229361.62087923614,5480704,5480652,230568.52535737446,237523.77068636354,5480705,Adjusting for time + demographics,emergency
3,TRUE,5.898 GB,228975.10823709576,5480704,5480644,230161.25215356928,237523.77068636354,5480705,Adjusting for time + demographics + clinical,emergency
