model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,5.898 GB,236098.54382731556,5480704,5480697,237489.29756258294,237523.77068636354,5480705,Unadjusted,emergency
1,TRUE,5.898 GB,229983.8554717321,5480704,5480670,231235.90616560855,237523.77068636354,5480705,Adjusting for time,emergency
2,TRUE,5.898 GB,229359.57110237074,5480704,5480659,230580.46764480486,237523.77068636354,5480705,Adjusting for time + demographics,emergency
3,TRUE,5.898 GB,228973.40256662449,5480704,5480651,230173.5415020277,237523.77068636354,5480705,Adjusting for time + demographics + clinical,emergency
