model,convergence,n,nevent,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs
0,0,4725429,161,44.62849188752625,5.5469867258093434e-8,33.78274717403742,7.40937641094723e-6,384.02,7.59835028265202e-80,66.75954964800565,1.884913064543216e-12,9.444281385939668e-6,8.680276033575796e-4,0.5887439247064522,0.013429687780739363,-2029.4777938594148,4070.9555877188295,4089.4440139087365,4725429
1,0,4725429,161,97.39706009633619,1.8061035257649224e-16,75.81201310171444,3.3057076367581498e-12,472.7,2.9877434267413295e-95,94.30850192926724,7.458480212466117e-16,2.061105062944879e-5,7.312694541276032e-4,0.7071836614816613,0.019907878622504135,-1679.714457488514,3379.428914977028,3410.2429586268727,4725429
2,0,4725429,161,176.03625603866067,1.7468798778322343e-26,164.09591822863132,3.540088151624798e-24,540.73,4.434046013790297e-101,103.60703115933109,6.605412455452672e-13,3.7252274268206875e-5,7.312694541276032e-4,0.7649033181776811,0.02107489646984672,-1640.3948595173517,3322.7897190347035,3387.4992106993773,4725429
3,0,4725429,161,263.17079559839794,1.3983734476266864e-39,303.7421346644325,1.478452788124583e-47,31798.39,0,146.50911271326254,1.2151730738149881e-17,5.569091555901462e-5,7.312694541276032e-4,0.8056634614299337,0.019874154367538227,-1596.827589737483,3251.655179474966,3341.0159060595156,4725429
