model,convergence,n,nevent,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs
0,0,4646375,6806,389.50916654255707,5.029958197630314e-81,344.4159410166782,2.4386467472914765e-71,328.69,5.776936660430925e-68,480.8189017695692,1.1375960516697648e-100,8.382725039912664e-5,0.03663061468565565,0.5451613580969707,0.002275322951631726,-86502.79995705107,173017.59991410215,173058.5532732325,4646375
1,0,4646375,6806,2376.197314590332,0,1802.847347694052,0,1497.15,1.038674696e-315,3245.084182823701,0,5.112781069074313e-4,0.030959305893620614,0.6550298467198261,0.0031630581542491623,-71873.06300463645,143766.1260092729,143834.3816078235,4646375
2,0,4646375,6806,2634.068980243028,0,2048.5800726313964,0,1776.65,0,3351.7125505633417,0,5.667477298775259e-4,0.030959305893620614,0.6661346656839436,0.0031709420962498917,-71744.1271718101,143530.2543436202,143673.59110057648,4646375
3,0,4646375,6806,3241.811470394634,0,2461.675532846037,0,2046.42,0,3710.2010856397947,0,6.974643275678982e-4,0.030959305893620614,0.6852508491335202,0.0030855317176410276,-71440.2559267343,142938.5118534686,143136.45308926536,4646375
