model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome,pw,term_left,term_right,term_midpoint
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24278145.96331951,6689,-0.8808240707269289,0.06390521289247146,-13.783289826590922,3.2129041367018913e-43,-1.0060759864205377,-0.7555721550333201,0.41444124202535065,0.36565098756517594,0.46974177270859807,Unadjusted,postest,1-7,0,6,3.5
0,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2432275.7506400067,2157,-0.04357785291570733,0.08871055792287125,-0.49123637519669056,0.6232592743402503,-0.21744735149298927,0.13029164566157464,0.9573580180764985,0.8045699632121165,1.1391605661193775,Unadjusted,postest,8-14,7,13,10.5
0,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2409996.0054400065,834,0.44607860668776816,0.10617310959339044,4.201427351954829,2.6523736440470404e-5,0.23798313575809885,0.6541740776174375,1.562174259051745,1.268687797186592,1.923553155516754,Unadjusted,postest,15-21,14,20,17.5
0,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2385802.8931600065,436,0.3860469695198195,0.1359973361163178,2.8386362596811128,0.004530677075157124,0.11949708873844828,0.6525968503011907,1.471153768578077,1.1269299632745566,1.9205216662379094,Unadjusted,postest,22-28,21,27,24.5
0,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2332569.653640006,318,0.5078864978857307,0.15139881657809012,3.354626603859664,7.947217769620985e-4,0.21115027009068849,0.804622725680773,1.6617753152028836,1.23509793939652,2.2358528098321786,Unadjusted,postest,29-35,28,34,31.5
0,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12257295.029720027,928,0.6866161938113626,0.10198937414035904,6.732232642847999,1.6707920935398847e-11,0.4867206936904782,0.886511693932247,1.9869805875850512,1.6269721223318068,2.426649972208102,Unadjusted,postest,36+,35,41,38.5
1,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24278145.96331951,6689,-0.0011396815188178492,0.06716071448825352,-0.016969466860230927,0.9864609741795941,-0.13277226309177212,0.1304929000541364,0.9988609676715174,0.8756644905264372,1.1393898502585884,Adjusting for time,postest,1-7,0,6,3.5
1,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2432275.7506400067,2157,-0.08973306240787059,0.08899602195281797,-1.0082817235970767,0.3133192343883668,-0.2641620602027298,0.08469593538698862,0.9141751804254871,0.7678490917934736,1.088386076688559,Adjusting for time,postest,8-14,7,13,10.5
1,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2409996.0054400065,834,0.35564612970140924,0.10741532748080042,3.3109439596967944,9.29818275890349e-4,0.14511595645146494,0.5661763029513536,1.4271024497294258,1.1561736282866388,1.761518644082763,Adjusting for time,postest,15-21,14,20,17.5
1,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2385802.8931600065,436,0.24236147325595456,0.1373021421144074,1.76516891523809,0.07753538118766914,-0.02674578028848404,0.5114687268003931,1.2742547185793471,0.9736087205940539,1.667738849782492,Adjusting for time,postest,22-28,21,27,24.5
