model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome,pw,term_left,term_right,term_midpoint
1,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2332569.653640006,318,0.27489110441472575,0.15344333055948978,1.7914829104165648,0.07321583459922197,-0.025852297149748404,0.5756345059791999,1.3163873182948411,0.9744790123072194,1.778258484669311,Adjusting for time,postest,29-35,28,34,31.5
1,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12257295.029720027,928,0.161000962552657,0.1061210392461612,1.517144608612387,0.129230177714467,-0.04699245237178051,0.3689943774770945,1.1746860995105537,0.9540945987145127,1.4462794719124206,Adjusting for time,postest,36+,35,41,38.5
2,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24278145.96331951,6689,-0.023292012236273765,0.06738689544754237,-0.3456460203661636,0.7296087559538574,-0.1553679003434229,0.10878387587087536,0.9769771528320547,0.8561001599967787,1.114921362892187,Adjusting for time + demographics,postest,1-7,0,6,3.5
2,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2432275.7506400067,2157,-0.0885380351328791,0.0890056116884655,-0.9947466620731398,0.3198594936022159,-0.26298582846422874,0.08590975819847053,0.9152682977226191,0.7687527916416514,1.0897079866560748,Adjusting for time + demographics,postest,8-14,7,13,10.5
2,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2409996.0054400065,834,0.35981597411883276,0.1073943544860916,3.35041796042856,8.068970735312128e-4,0.14932690718316569,0.5703050410544999,1.4330656691205608,1.1610524835729015,1.768806527756772,Adjusting for time + demographics,postest,15-21,14,20,17.5
2,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2385802.8931600065,436,0.2505971515197605,0.13727072740311325,1.8255687593455343,0.06791524516478556,-0.01844853032195687,0.5196428333614778,1.2847924033975757,0.9817206021347823,1.6814269928110281,Adjusting for time + demographics,postest,22-28,21,27,24.5
2,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2332569.653640006,318,0.28673189040035113,0.15342909869981994,1.8688234033189144,0.06164738770918269,-0.013983617231737133,0.5874473980324394,1.3320670256381222,0.9861136994027467,1.7993894232146705,Adjusting for time + demographics,postest,29-35,28,34,31.5
2,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12257295.029720027,928,0.17489673473876188,0.10612920431698472,1.6479604823605725,0.0993607806848302,-0.03311268343042095,0.3829061529079447,1.1911232086119368,0.9674295401675296,1.4665403930588128,Adjusting for time + demographics,postest,36+,35,41,38.5
3,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24278145.96331951,6689,-0.023886969717874594,0.0675843082621292,-0.3534395828278327,0.7237589153820999,-0.15634977983170062,0.10857584039595142,0.9763960658437906,0.8552599853523917,1.1146894438214883,Adjusting for time + demographics + clinical,postest,1-7,0,6,3.5
3,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2432275.7506400067,2157,-0.0912774738089282,0.0890302329304042,-1.0252413231388566,0.30524933453187575,-0.26577352388773234,0.08321857626987592,0.9127644075415526,0.7666127273122685,1.0867793267607917,Adjusting for time + demographics + clinical,postest,8-14,7,13,10.5
3,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2409996.0054400065,834,0.3551901115456289,0.10743931639158785,3.305960271108344,9.465150714174693e-4,0.1446129208945129,0.5657673021967449,1.4264518134644406,1.155592178098921,1.760798328942835,Adjusting for time + demographics + clinical,postest,15-21,14,20,17.5
3,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2385802.8931600065,436,0.2443189617340958,0.13731227697513887,1.779294372769968,0.07519151305391412,-0.02480815577236481,0.5134460792405564,1.276751500422773,0.9754970375540127,1.6710398197816612,Adjusting for time + demographics + clinical,postest,22-28,21,27,24.5
3,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2332569.653640006,318,0.2793773349515042,0.15350085462926766,1.8200376514270946,0.06875327128239646,-0.021478811717978774,0.5802334816209871,1.3223062020919385,0.9787502152850373,1.7864554865835716,Adjusting for time + demographics + clinical,postest,29-35,28,34,31.5
3,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12257295.029720027,928,0.1709114269646818,0.10623517653928564,1.6088025881095889,0.10765951479882958,-0.0373056929435725,0.3791285468729361,1.1863856625886748,0.9633815913768887,1.4610108320466448,Adjusting for time + demographics + clinical,postest,36+,35,41,38.5
