model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,4.173 GB,116002.41155678,3877418,3877404,115673.01668424103,123033.85026343039,3877419,Unadjusted,postest
1,TRUE,4.173 GB,109742.38461251407,3877418,3877377,109368.12769185877,123033.85026343039,3877419,Adjusting for time,postest
2,TRUE,4.173 GB,109055.28348348508,3877418,3877366,108659.96731498252,123033.85026343039,3877419,Adjusting for time + demographics,postest
3,TRUE,4.173 GB,108455.59582150346,3877418,3877358,108045.21017078985,123033.85026343039,3877419,Adjusting for time + demographics + clinical,postest
