model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24278145.96331951,6689,-0.8808240707269289,0.06390521289247146,-13.783289826590922,3.2129041367018913e-43,-1.0060759864205377,-0.7555721550333201,0.41444124202535065,0.36565098756517594,0.46974177270859807,Unadjusted,postest
0,timesincevax_pw1-7,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,2460206.630720007,2016,0,NA,NA,NA,NA,NA,NA,NA,NA,Unadjusted,postest
0,timesincevax_pw8-14,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,2432275.7506400067,2157,0.004259530971092731,0.06643097773627667,0.0641196489385205,0.9488749564480052,-0.12594279284979168,0.13446185479197711,1.004268615667408,0.8816652828990214,1.1439210230647632,Unadjusted,postest
0,timesincevax_pw15-21,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,15-21,2409996.0054400065,834,-1.005355765635924,0.10903870704340597,-9.220173210928788,2.9662067295558936e-20,-1.2190677043618137,-0.7916438269100344,0.36591443186397693,0.29550553706414334,0.4530993658412353,Unadjusted,postest
0,timesincevax_pw22-28,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,22-28,2385802.8931600065,436,-1.453938114098742,0.14135946523335807,-10.285396253434898,8.200406694618614e-25,-1.7309975748299657,-1.1768786533675182,0.2336483400948369,0.1771076436882024,0.30823936049412337,Unadjusted,postest
0,timesincevax_pw29-35,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,29-35,2332569.653640006,318,-1.424705085209916,0.16803434413260684,-8.47865412612072,2.278138125482659e-17,-1.7540463478756345,-1.0953638225441973,0.24057940317139068,0.17307221430109682,0.3344179160359639,Unadjusted,postest
0,timesincevax_pw36+,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,36+,12257295.029720027,928,-1.0228871255464405,0.2037577750793959,-5.020113343639839,5.164099943152887e-7,-1.4222450262720692,-0.6235292248208116,0.3595553587325733,0.24117197125978898,0.536049256959673,Unadjusted,postest
0,"ns(tstop, 3)1","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)1",13575145.125680074,1098,-3.0102073016525077,0.32796183913595234,-9.17852915321854,4.3701963848933274e-20,-3.653000694662493,-2.3674139086425225,0.049281461573056747,0.025913254234654133,0.09372278883941897,Unadjusted,postest
0,"ns(tstop, 3)2","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)2",24278145.96331951,6689,-1.279258025813385,0.3546016393514472,-3.6075919675754995,3.090520073018127e-4,-1.9742644678010826,-0.5842515838256875,0.2782436735053175,0.13886341320074186,0.557522964913843,Unadjusted,postest
0,"ns(tstop, 3)3","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)3",2833117.049960008,130,-0.8824143739706874,0.33720431584916727,-2.6168537367279563,0.008874435889211982,-1.543322688466524,-0.2215060594748508,0.4137826785704055,0.2136699619156156,0.8013110666089681,Unadjusted,postest
