model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,4.173 GB,116487.48531075561,3877418,3877411,116172.13586265966,123033.85026343039,3877419,Unadjusted,postest
1,TRUE,4.173 GB,110243.81454876652,3877418,3877384,109883.66387027063,123033.85026343039,3877419,Adjusting for time,postest
2,TRUE,4.173 GB,109557.7516182237,3877418,3877373,109176.55160276475,123033.85026343039,3877419,Adjusting for time + demographics,postest
3,TRUE,4.173 GB,108957.7580980867,3877418,3877365,108561.49226039724,123033.85026343039,3877419,Adjusting for time + demographics + clinical,postest
