model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24278145.96331951,6689,-0.9331120113338656,0.06308219521374003,-14.79200284917515,1.6497077275123761e-49,-1.056750842018521,-0.8094731806492101,0.3933277633230628,0.3475833307454611,0.4450924878040732,Unadjusted,postest
0,"ns(tstop, 3)1","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)1",13575145.125680074,1098,-3.8366922600571156,0.13056128803830525,-29.3861397792849,8.257261060753937e-190,-4.092587682387354,-3.580796837726877,0.021564814300815305,0.01669597373420544,0.027853494694706396,Unadjusted,postest
0,"ns(tstop, 3)2","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)2",24278145.96331951,6689,-3.9441291279313506,0.18887711497890805,-20.881985244066186,7.807944091927253e-97,-4.314321470793841,-3.5739367850688604,0.01936807614379596,0.013375622158028127,0.02804522803350329,Unadjusted,postest
0,"ns(tstop, 3)3","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)3",2833117.049960008,130,-1.186971748623174,0.3342126125527374,-3.5515468418651452,3.829738172367038e-4,-1.842016432405578,-0.5319270648407696,0.30514391883868014,0.15849750416123767,0.5874717819499823,Unadjusted,postest
0,"vax1_az:ns(tstop, 3)1","vax1_az:ns(tstop, 3)","vax1_az * ns(tstop, 3)",NA,interaction,NA,NA,NA,NA,"vax1_az * ns(tstop, 3)1",13575145.125680074,1098,1.1101002945980343,0.2860302781632786,3.881058682760643,1.0400273978264288e-4,0.5494912509100349,1.6707093382860336,3.034662739452963,1.7323714512390003,5.3159372579349045,Unadjusted,postest
0,"vax1_az:ns(tstop, 3)2","vax1_az:ns(tstop, 3)","vax1_az * ns(tstop, 3)",NA,interaction,NA,NA,NA,NA,"vax1_az * ns(tstop, 3)2",24278145.96331951,6689,1.1592198694523757,0.418557461812105,2.7695596786965466,0.005613211994957101,0.33886231884015094,1.9795774200646004,3.187445682172779,1.4033501170393035,7.23968299388922,Unadjusted,postest
0,"vax1_az:ns(tstop, 3)3","vax1_az:ns(tstop, 3)","vax1_az * ns(tstop, 3)",NA,interaction,NA,NA,NA,NA,"vax1_az * ns(tstop, 3)3",2833117.049960008,130,0.5323753843068267,0.7069944238736133,0.7530121403079092,0.4514426187174245,-0.8533082237560999,1.9180589923697533,1.7029727226310036,0.4260032840281982,6.807731777563685,Unadjusted,postest
1,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24278145.96331951,6689,-0.04765870805821755,0.06680161403552747,-0.7134364752455077,0.47557570901274276,-0.17858746567699674,0.08327004956056162,0.9534591394753926,0.8364508929341472,1.0868352683087246,Adjusting for time,postest
1,"ns(tstop, 3)1","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)1",13575145.125680074,1098,-0.831980111074155,0.18197870463962962,-4.5718542327340765,4.8342719973403645e-6,-1.188651818121081,-0.475308404027229,0.4351867145765789,0.3046316862618186,0.621693294180783,Adjusting for time,postest
1,"ns(tstop, 3)2","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)2",24278145.96331951,6689,1.1620978995809792,0.2509090268018408,4.631550783140073,3.6293694934986853e-6,0.6703252436533762,1.6538705555085822,3.1966324604504766,1.9548730272958417,5.227172785406309,Adjusting for time,postest
1,"ns(tstop, 3)3","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)3",2833117.049960008,130,2.4364634028983794,0.39397284771784663,6.18434345669251,6.236146172695918e-10,1.664290810484717,3.208635995312042,11.432536885286513,5.2819260346107235,24.74531047519097,Adjusting for time,postest
1,"ns(tstop_calendar, 3)1","ns(tstop_calendar, 3)","ns(tstop_calendar, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop_calendar, 3)1",16131523.731400168,1337,-2.2637006229013554,0.18976943997920198,-11.928688956185193,8.388418007663653e-33,-2.6356418906269266,-1.891759355175784,0.10396503660012824,0.07167294844614694,0.1508062535391213,Adjusting for time,postest
1,"ns(tstop_calendar, 3)2","ns(tstop_calendar, 3)","ns(tstop_calendar, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop_calendar, 3)2",24278145.96331951,6689,-5.078826032583318,0.32000880335287246,-15.870894735926736,1.0079370078200083e-56,-5.706031761890708,-4.451620303275927,0.0062272152742775064,0.003325844135054856,0.011659659472152467,Adjusting for time,postest
1,"ns(tstop_calendar, 3)3","ns(tstop_calendar, 3)","ns(tstop_calendar, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop_calendar, 3)3",5785501.954359967,247,-3.1078335401815673,0.302157262648517,-10.28548350266444,8.192982733824239e-25,-3.70005089263987,-2.5156161877232646,0.044697686261876104,0.024722268256827593,0.08081310082109269,Adjusting for time,postest
1,regionNorth East and Yorkshire,region,region,factor,categorical,7,contr.treatment,treatment,TRUE,North East and Yorkshire,9565809.94707993,1334,0,NA,NA,NA,NA,NA,NA,NA,NA,Adjusting for time,postest
1,regionEast of England,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,East of England,7740712.57703991,1790,1.0870899793105129,0.10666107099441692,10.192003222688582,2.1528170119300228e-24,0.878038121608986,1.2961418370120399,2.9656314546731024,2.4061744510840652,3.6551671974507345,Adjusting for time,postest
1,regionMidlands,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,Midlands,4911450.623679994,1438,0.9427925826992701,0.1200863274139969,7.8509569157610954,4.12874791033669e-15,0.7074277059321513,1.178157459466389,2.5671403694776784,2.0287659583836977,3.248383407345991,Adjusting for time,postest
1,regionSouth West,region,region,factor,categorical,7,contr.treatment,treatment,FALSE,South West,314875.3950399999,779,3.136925917249962,0.13916098214341674,22.54170579233987,1.6195744799950952e-112,2.8641754041956435,3.4096764303042804,23.032952713971955,17.534588293615737,30.255452927698723,Adjusting for time,postest
