model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,5.898 GB,235961.70861703972,5480704,5480690,237339.02463638314,237523.77068636354,5480705,Unadjusted,emergency
1,TRUE,5.898 GB,229986.80277269598,5480704,5480666,231230.96011640018,237523.77068636354,5480705,Adjusting for time,emergency
2,TRUE,5.898 GB,229360.04005906652,5480704,5480655,230573.01607059516,237523.77068636354,5480705,Adjusting for time + demographics,emergency
3,TRUE,5.898 GB,228972.54670054335,5480704,5480647,230164.74328292118,237523.77068636354,5480705,Adjusting for time + demographics + clinical,emergency
