model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome,pw,term_left,term_right,term_midpoint
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24136388.753599577,14058,0.20901066319037406,0.058384850903025184,3.579878341002054,3.4375421227889215e-4,0.09457845817770387,0.32344286820304424,1.2324581403959667,1.099195400618001,1.3818772048848487,Unadjusted,emergency,1-7,0,6,3.5
0,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2439238.0003199945,1418,-0.3903817182039395,0.08146346107749025,-4.792108180041575,1.6503786726753678e-6,-0.5500471679718009,-0.23071626843607815,0.6767984788843587,0.576922597469894,0.7939647069277517,Unadjusted,emergency,8-14,7,13,10.5
0,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2417753.7791999946,1418,-0.23429211336775096,0.08036725184515978,-2.915268445649377,0.003553827143857695,-0.3918090325207243,-0.07677519421477763,0.7911306822906845,0.6758331637937738,0.9260980223999626,Unadjusted,emergency,15-21,14,20,17.5
0,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2388162.4163199947,1329,-0.28855905985539143,0.08284835182750294,-3.4829788823825374,4.958674779823939e-4,-0.45093884561580033,-0.12617927409498253,0.7493425477780883,0.6370297981518289,0.8814568102459877,Unadjusted,emergency,22-28,21,27,24.5
0,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2329936.503679995,1345,-0.30332252600557824,0.08378891290072085,-3.620079501031081,2.9451251217927786e-4,-0.4675457775947546,-0.1390992744164019,0.7383609173657326,0.6265380466528329,0.8701416413666748,Unadjusted,emergency,29-35,28,34,31.5
0,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12100947.858240006,7032,-0.2693846619914982,0.06429756759976409,-4.189655566262612,2.7937819553047805e-5,-0.39540557878056526,-0.14336374520243111,0.7638493753076135,0.6734068643207797,0.8664388485946523,Unadjusted,emergency,36+,35,41,38.5
1,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24136388.753599577,14058,0.2605941618199432,0.0593875305123342,4.3880282539416315,1.1438291915952202e-5,0.14419674088499468,0.37699158275489175,1.2977009019782422,1.1551113437989926,1.4578920378849556,Adjusting for time,emergency,1-7,0,6,3.5
1,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2439238.0003199945,1418,-0.3849183268594831,0.0815623444710916,-4.719314156006279,2.3664112428343895e-6,-0.5447775845174722,-0.22505906920149396,0.6805062130145486,0.5799707634729353,0.7984690524370072,Adjusting for time,emergency,8-14,7,13,10.5
1,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2417753.7791999946,1418,-0.22183211738229636,0.08071374738927602,-2.7483808466037094,0.005989039860404676,-0.38002815532254114,-0.06363607944205157,0.8010498353899433,0.6838421551448596,0.9383464209548866,Adjusting for time,emergency,15-21,14,20,17.5
1,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2388162.4163199947,1329,-0.27059090636032823,0.08339286715477415,-3.2447727916360196,0.0011754437092120912,-0.43403792255121876,-0.10714389016943773,0.762928541786792,0.6478876854655385,0.8983963932802376,Adjusting for time,emergency,22-28,21,27,24.5
1,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2329936.503679995,1345,-0.2852689822532318,0.08454246125423272,-3.37426871682127,7.401208062530487e-4,-0.4509691614759008,-0.11956880303056272,0.7518120030330162,0.6370104863383169,0.8873029565863793,Adjusting for time,emergency,29-35,28,34,31.5
1,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12100947.858240006,7032,-0.24031050561546452,0.0655594205923771,-3.66553736204628,2.468197723784379e-4,-0.36880460882383714,-0.11181640240709187,0.7863836466153528,0.691560522073865,0.8942084169431658,Adjusting for time,emergency,36+,35,41,38.5
2,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24136388.753599577,14058,0.26103191241247875,0.059471409923208075,4.389199999622236,1.1376840434463324e-5,0.14447009085317297,0.37759373397178453,1.2982690956715066,1.1554271366070732,1.4587701737084104,Adjusting for time + demographics,emergency,1-7,0,6,3.5
2,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2439238.0003199945,1418,-0.38618230025818423,0.08157016113875541,-4.734357452123534,2.197501495303259e-6,-0.5460568783032735,-0.22630772221309495,0.6796466146328346,0.5792292848648906,0.7974726638512742,Adjusting for time + demographics,emergency,8-14,7,13,10.5
2,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2417753.7791999946,1418,-0.22461189422303976,0.080721467639916,-2.782554638686615,0.005393278318819151,-0.38282306357649054,-0.066400724869589,0.7988261876633443,0.6819335474951094,0.9357558085252128,Adjusting for time + demographics,emergency,15-21,14,20,17.5
