model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome,term_left,term_right,term_midpoint
0,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.2951228529274089,0.05886092632046631,0.05968893839103098,4.944347493567666,7.639932201240237e-7,0.17813468340555805,0.4121110224492598,NA,Unadjusted,emergency,0,6,3.5
0,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.4089908707552242,0.08248886077329473,0.08282413968399034,-4.93806361666659,7.890210572984318e-7,-0.5713232015863599,-0.24665853992408854,NA,Unadjusted,emergency,7,13,10.5
0,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,-0.23674941850580167,0.08189728322445103,0.08251800151833998,-2.8690638909036483,0.004116886289084203,-0.39848172955796946,-0.07501710745363385,NA,Unadjusted,emergency,14,20,17.5
0,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,-0.2775662604482944,0.08428501121109357,0.08475140169124633,-3.2750639506763846,0.001056380570020069,-0.4436759554024242,-0.11145656549416463,NA,Unadjusted,emergency,21,27,24.5
0,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-0.2776961135232248,0.08484586392936441,0.08548767433206063,-3.24837604593812,0.0011606576651229305,-0.44524887633615284,-0.1101433507102968,NA,Unadjusted,emergency,28,34,31.5
0,36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,-0.21821799508779638,0.06541751371830806,0.06612686931347332,-3.299989812814782,9.668833816151534e-4,-0.3478242773525909,-0.08861171282300181,NA,Unadjusted,emergency,35,41,38.5
1,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.27496016320518296,0.059194993579793485,0.06003308240719269,4.5801440169302285,4.6465586143677975e-6,0.15729748380616018,0.39262284260420577,NA,Adjusting for time,emergency,0,6,3.5
1,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.40562043986551677,0.08274094946533253,0.08311681029655085,-4.8801251927054405,1.0601851887972002e-6,-0.5685263945566044,-0.2427144851744292,NA,Adjusting for time,emergency,7,13,10.5
1,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,-0.23094627518391184,0.08222757410577346,0.08290903127385872,-2.785538217435781,0.005343894013085672,-0.3934449904737799,-0.06844755989404377,NA,Adjusting for time,emergency,14,20,17.5
1,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,-0.2757862415139502,0.08461591578436509,0.08511221770586781,-3.24026619147696,0.001194181617909595,-0.4426031228617834,-0.10896936016611702,NA,Adjusting for time,emergency,21,27,24.5
1,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-0.2790576412574508,0.085189697548942,0.08584835037295165,-3.2505882762468765,0.0011516650840327483,-0.4473173161206117,-0.1107979663942899,NA,Adjusting for time,emergency,28,34,31.5
1,36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,-0.21897861764071044,0.06578621148922778,0.06653260898882726,-3.291297620351597,9.972634400790886e-4,-0.3493801350562977,-0.08857710022512316,NA,Adjusting for time,emergency,35,41,38.5
2,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.2997370503785001,0.05917124465304973,0.06001496517542662,4.9943718121364284,5.902758217363299e-7,0.1821098801012384,0.41736422065576184,NA,Adjusting for time + demographics,emergency,0,6,3.5
2,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.41006208948685985,0.08273170612221654,0.0830976379129974,-4.934702114110533,8.027318097275044e-7,-0.5729304669966848,-0.24719371197703482,NA,Adjusting for time + demographics,emergency,7,13,10.5
2,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,-0.23975627737478186,0.08221533474539616,0.08289107840985213,-2.8924256020571364,0.0038227970808639615,-0.40221980569777765,-0.07729274905178607,NA,Adjusting for time + demographics,emergency,14,20,17.5
2,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,-0.2876045495858009,0.08460091867818734,0.08508480871725332,-3.380210332746285,7.243037800702054e-4,-0.45436771030309697,-0.12084138886850479,NA,Adjusting for time + demographics,emergency,21,27,24.5
2,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-0.2933799085833975,0.08516930132556334,0.08581645626149013,-3.4186905561497865,6.292324122287904e-4,-0.46157707213677496,-0.12518274503002008,NA,Adjusting for time + demographics,emergency,28,34,31.5
2,36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,-0.23715926327040607,0.06576489296249417,0.06649949502818395,-3.566331791991695,3.6201298786684094e-4,-0.36749587851574694,-0.10682264802506516,NA,Adjusting for time + demographics,emergency,35,41,38.5
3,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.3007063431465612,0.05909991145646643,0.05985821807127226,5.02364341665692,5.070033234556767e-7,0.18338639154812297,0.4180262947449994,NA,Adjusting for time + demographics + clinical,emergency,0,6,3.5
3,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.4101257830349617,0.0827174644668314,0.08305898722592016,-4.937765276615052,7.902287339852866e-7,-0.5729184065901376,-0.24733315947978585,NA,Adjusting for time + demographics + clinical,emergency,7,13,10.5
3,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,-0.24118283611042754,0.08218325825427249,0.08281782397950306,-2.912209286857367,0.0035888209028171096,-0.40350278838823117,-0.07886288383262391,NA,Adjusting for time + demographics + clinical,emergency,14,20,17.5
3,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,-0.29113912296284966,0.0845561524474909,0.08498468716990126,-3.4257833105957634,6.130292353333291e-4,-0.4577060490532593,-0.12457219687244,NA,Adjusting for time + demographics + clinical,emergency,21,27,24.5
3,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-0.3015775418229389,0.08512233338437998,0.08570846005511827,-3.518643802828768,4.337586636124529e-4,-0.4695630367013605,-0.13359204694451726,NA,Adjusting for time + demographics + clinical,emergency,28,34,31.5
3,36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,-0.25120513593153493,0.06570636179820374,0.06636929661729804,-3.7849600453059877,1.5373327527780337e-4,-0.3812865669806951,-0.12112370488237476,NA,Adjusting for time + demographics + clinical,emergency,35,41,38.5
