model,convergence,n,nevent,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs
0,0,2060176,6806,363.71040983332205,3.0340128754980892e-71,374.7169101656928,1.4123109902328813e-73,364.72,1.8545411276858217e-71,329.52419060690954,5.1722994131908064e-64,1.7652778519516854e-4,0.07786230577041453,0.5627551823773302,0.0034228593558900855,-83317.823440476,166657.646880952,166732.72803935767,2060176
1,0,2060176,6806,335.1427982246387,3.360921169283737e-65,343.73099141878436,5.137002633702021e-67,334.81,3.942446383032978e-65,306.0196331201975,4.719954200741953e-59,1.6266354900118518e-4,0.06562960093390013,0.5556392833948574,0.0037124827315620206,-69757.21913375169,139536.43826750337,139611.51942590903,2060176
2,0,2060176,6806,584.134680084011,1.8488803347652648e-109,595.3606390884642,8.158417398875546e-112,579.21,1.998287920375778e-108,523.3222235307362,9.919890665268689e-97,2.834961072342157e-4,0.06562960093390013,0.5813599890733399,0.003956834051426684,-69632.723192822,139309.446385644,139459.60870245533,2060176
3,0,2060176,6806,1178.3062320137105,9.71102927565858e-229,1072.1643492027822,2.9024903673634506e-206,978.32,1.9237771113067083e-186,1329.9508229651647,6.207900612983701e-261,5.717809223048098e-4,0.06562960093390013,0.6110577374336337,0.0038118477789952664,-69335.63741685715,138731.2748337143,138936.0416293661,2060176
