model,convergence,n,nevent,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs
0,0,2061581,18583,136.139071024023,9.918431394652271e-24,145.0135814598078,1.5522614232157663e-25,142.78,4.421119250954147e-25,120.19565360322514,1.6559433152396874e-20,6.603406612026852e-5,0.20315103873195217,0.5187648331721171,0.0018627771484477714,-234014.2762518126,468050.5525036252,468136.68253072124,2061581
1,0,2061581,18583,123.64088642643765,3.3512721037388306e-21,131.72949899603785,7.773512128672393e-23,129.49,2.2086295889265123e-22,108.7369101447757,3.2738044053698247e-18,5.997202093566134e-5,0.17322937757857226,0.518746052793571,0.0020277269632720182,-196023.37775007696,392068.75550015393,392154.88552724995,2061581
2,0,2061581,18583,924.0679777595215,2.739340829571231e-181,966.3210845142619,2.8592874356756775e-190,913.66,4.45059728320466e-179,788.5201309826246,1.528348052974158e-152,4.481322392695386e-4,0.17322937757857226,0.5613780426303274,0.0023743597357775946,-195623.16420441042,391290.32840882085,391462.5884630129,2061581
3,0,2061581,18583,1605.3120336681604,1.38536e-319,1705.4664461639986,0,1633.95,0,1322.1415442740329,2.8376331223331995e-259,7.783769755458358e-4,0.17322937757857226,0.5815966885785088,0.0023578122333584336,-195282.5421764561,390625.0843529122,390859.9844268104,2061581
