model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,3.767 GB,3839.8452944658598,3500270,3500263,3826.1846576449234,4023.04636654574,3500271,Unadjusted,covidadmitted
1,TRUE,3.767 GB,3623.478348784435,3500270,3500236,3555.815574228709,4023.04636654574,3500271,Adjusting for time,covidadmitted
2,TRUE,3.767 GB,3505.868567794671,3500270,3500225,3416.2033589138955,4023.04636654574,3500271,Adjusting for time + demographics,covidadmitted
3,TRUE,3.767 GB,3448.798980628385,3500270,3500217,3343.128278806066,4023.04636654574,3500271,Adjusting for time + demographics + clinical,covidadmitted
