model,convergence,ram,AIC,df.null,df.residual,deviance,null.deviance,nobs,model_name,outcome
0,TRUE,3.767 GB,3734.750943127437,3500270,3500256,3707.090283287057,4023.04636654574,3500271,Unadjusted,covidadmitted
1,FALSE,3.767 GB,3520.3708979087637,3500270,3500229,3438.7078864356104,4023.04636654574,3500271,Adjusting for time,covidadmitted
2,FALSE,3.767 GB,3403.5432515473644,3500270,3500218,3299.8776401747978,4023.04636654574,3500271,Adjusting for time + demographics,covidadmitted
3,FALSE,3.767 GB,3345.7511900571417,3500270,3500210,3226.0798705365737,4023.04636654574,3500271,Adjusting for time + demographics + clinical,covidadmitted
